code,name_vi,name_en
A43.8,Bệnh do nhiễm nocardia thể khác,Other forms of nocardiosis
A43.9,"Bệnh do nhiễm nocardia, không xác định","Nocardiosis, unspecified"
A44,Bệnh do nhiễm bartonella,Bartonellosis
A44.0,Bệnh do nhiễm bartonella toàn thân,Systemic bartonellosis
A44.1,Bệnh do nhiễm bartonella ở da và/hoặc niêm mạc,Cutaneous and mucocutaneous bartonellosis
A44.8,Bệnh do nhiễm bartonella thể khác,Other forms of bartonellosis
A44.9,"Bệnh do nhiễm bartonella, không xác định","Bartonellosis, unspecified"
A46,Viêm quầng (do liên cầu khuẩn [Streptococcus]),Erysipelas
A48,"Bệnh nhiễm khuẩn khác, không phân loại mục khác","Other bacterial diseases, not elsewhere classified"
A48.0,Bệnh hoại thư sinh hơi [hoại thư khí],Gas gangrene
A48.1,Bệnh Legionnaire,Legionnaires disease
A48.2,Bệnh Legionnaire không gây viêm phổi [sốt Pontiac],Nonpneumonic Legionnaires disease [Pontiac fever]
A48.3,Hội chứng sốc nhiễm độc,Toxic shock syndrome
A48.4,Sốt ban xuất huyết Brasil,Brazilian purpuric fever
A48.8,Bệnh nhiễm khuẩn xác định khác,Other specified bacterial diseases
A49,Nhiễm khuẩn ở vị trí không xác định,Bacterial infection of unspecified site
A49.0,"Nhiễm khuẩn do tụ cầu, vị trí không xác định","Staphylococcal infection, unspecified site"
A49.1,"Nhiễm khuẩn liên cầu và/hoặc enterococcal, vị trí không xác định","Streptococcal and enterococcal infection, unspecified site"
A49.2,"Nhiễm khuẩn Haemophilus cúm [H. influenzae], vị trí không xác định","Haemophilus influenzae infection, unspecified site"
A49.3,"Nhiễm khuẩn Mycoplasma, vị trí không xác định","Mycoplasma infection, unspecified site"
A49.8,Nhiễm khuẩn khác ở vị trí không xác định,Other bacterial infections of unspecified site
A49.9,"Nhiễm khuẩn, không xác định","Bacterial infection, unspecified"
A50,Bệnh giang mai bẩm sinh,Congenital syphilis
A50.0,"Bệnh giang mai bẩm sinh sớm, có triệu chứng","Early congenital syphilis, symptomatic"
A50.1,"Bệnh giang mai bẩm sinh sớm, tiềm ẩn","Early congenital syphilis, latent"
A50.2,"Bệnh giang mai bẩm sinh giai đoạn sớm, không xác định [có triệu chứng hoặc tiềm ẩn]","Early congenital syphilis, unspecified"
A50.3,Bệnh lý nhãn cầu do giang mai bẩm sinh muộn,Late congenital syphilitic oculopathy
A50.4,Bệnh giang mai thần kinh bẩm sinh muộn [giang mai thần kinh ở thiếu niên],Late congenital neurosyphilis [juvenile neurosyphilis]
A50.5,"Bệnh giang mai bẩm sinh muộn khác, có triệu chứng","Other late congenital syphilis, symptomatic"
A50.6,"Bệnh giang mai bẩm sinh muộn, tiềm ẩn","Late congenital syphilis, latent"
A50.7,"Bệnh giang mai bẩm sinh muộn, không xác định","Late congenital syphilis, unspecified"
A50.9,"Bệnh giang mai bẩm sinh, không xác định","Congenital syphilis, unspecified"
A51,Bệnh giang mai sớm,Early syphilis
A51.0,Bệnh giang mai sinh dục sơ nhiễm,Primary genital syphilis
A51.1,Bệnh giang mai hậu môn sơ nhiễm,Primary anal syphilis
A51.2,Bệnh giang mai sơ nhiễm ở vị trí khác,Primary syphilis of other sites
A51.3,Bệnh giang mai thứ phát ở da và/hoặc ở niêm mạc,Secondary syphilis of skin and mucous membranes
A51.4,Bệnh giang mai thứ phát khác,Other secondary syphilis
A51.5,"Bệnh giang mai giai đoạn sớm, tiềm ẩn [Thời gian nhiễm khuẩn dưới 2 năm]","Early syphilis, latent"
A51.9,"Bệnh giang mai giai đoạn sớm, không xác định [Thời gian nhiễm khuẩn dưới 2 năm]","Early syphilis, unspecified"
A52,Bệnh giang mai giai đoạn muộn [Thời gian nhiễm khuẩn từ 2 năm trở lên],Late syphilis
A52.0,Bệnh giang mai tim mạch,Cardiovascular syphilis
A52.1,Bệnh giang mai thần kinh có triệu chứng,Symptomatic neurosyphilis
A52.2,Bệnh giang mai thần kinh không triệu chứng,Asymptomatic neurosyphilis
A52.3,"Bệnh giang mai thần kinh, không xác định","Neurosyphilis, unspecified"
A52.7,Bệnh giang mai giai đoạn muộn khác có triệu chứng [Thời gian nhiễm khuẩn từ 2 năm trở lên],Other symptomatic late syphilis
A52.8,"Bệnh giang mai giai đoạn muộn, tiềm ẩn [Thời gian nhiễm khuẩn từ 2 năm trở lên]","Late syphilis, latent"
A52.9,"Bệnh giang mai giai đoạn muộn, không xác định [Thời gian nhiễm khuẩn từ 2 năm trở lên]","Late syphilis, unspecified"
A53,Bệnh giang mai khác và/hoặc không xác định,Other and unspecified syphilis
A53.0,"Bệnh giang mai tiềm ẩn, không xác định là giai đoạn sớm hoặc giai đoạn muộn","Latent syphilis, unspecified as early or late"
A53.9,"Bệnh giang mai, không xác định","Syphilis, unspecified Infection due to"
A54,Bệnh lậu [bệnh nhiễm khuẩn lậu cầu],Gonococcal infection
A54.0,Bệnh lậu ở đường sinh dục - tiết niệu dưới không có áp xe quanh niệu đạo hoặc tuyến phần phụ,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54.1,Bệnh lậu ở đường sinh dục - tiết niệu dưới có áp xe quanh niệu đạo và/hoặc tuyến phần phụ,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.2,Viêm phúc mạc vùng chậu và/hoặc nhiễm trùng sinh dục - tiết niệu khác do lậu cầu khuẩn,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A54.3,Bệnh lậu ở mắt,Gonococcal infection of eye
A54.4,Bệnh lậu ở hệ cơ xương khớp,Gonococcal infection of musculoskeletal system
A54.5,Viêm họng do lậu cầu khuẩn,Gonococcal pharyngitis
A54.6,Bệnh lậu ở hậu môn và/hoặc trực tràng,Gonococcal infection of anus and rectum
A54.8,Bệnh lậu khác,Other gonococcal infections
A54.9,"Bệnh lậu, không xác định","Gonococcal infection, unspecified"
A55,Viêm hạch lympho do Chlamydia (bệnh hột xoài),Chlamydial lymphogranuloma (venereum)
A56,Bệnh khác do chlamydia lây truyền qua đường tình dục,Other sexually transmitted chlamydial diseases
A56.0,Bệnh do chlamydia ở đường sinh dục - tiết niệu dưới,Chlamydial infection of lower genitourinary tract
A56.1,Viêm phúc mạc vùng chậu và/hoặc cơ quan sinh dục - tiết niệu khác do chlamydia,Chlamydial infection of pelviperitoneum and other genitourinary organs
A56.2,"Bệnh do chlamydia ở đường niệu - sinh dục, không xác định","Chlamydial infection of genitourinary tract, unspecified"
A56.3,Bệnh do chlamydia ở hậu môn và/hoặc trực tràng,Chlamydial infection of anus and rectum
A56.4,Bệnh do nhiễm chlamydia ở họng,Chlamydial infection of pharynx
A56.8,Bệnh do chlamydia lây truyền qua đường tình dục ở vị trí khác,Sexually transmitted chlamydial infection of other sites
A57,Bệnh hạ cam mềm,Chancroid
A58,U hạt ở bẹn,Granuloma inguinale
A59,Bệnh do trichomonas,Trichomoniasis
